id,product_id,image_url,sort_order,alt_text,created_at
24,27,https://www.ricambixstufe.it/ricambixstufe/143-home_default/display-lcd-a-6-tasti-micronova.jpg,0,DISPLAY LCD A 6 TASTI MICRONOVA,2026-04-02 10:47:25.78266+00
25,28,https://www.ricambixstufe.it/ricambixstufe/142-home_default/display-lcd-a-6-tasti-micronova-2.jpg,0,DISPLAY LED A 6 TASTI MICRONOVA,2026-04-02 10:47:25.78266+00
26,29,https://www.ricambixstufe.it/ricambixstufe/65-home_default/display-lcd-a-3-tasti-micronova.jpg,0,DISPLAY LED A 3 TASTI MICRONOVA,2026-04-02 10:47:25.78266+00
27,30,https://www.ricambixstufe.it/ricambixstufe/66-home_default/display-led-a-3-tasti-duepi.jpg,0,DISPLAY LED A 3 TASTI DUEPI,2026-04-02 10:47:25.78266+00
28,31,https://www.ricambixstufe.it/ricambixstufe/67-home_default/pannello-di-emergenza-micronova.jpg,0,PANNELLO DI EMERGENZA TELECOMANDO RADIO MICRONOVA,2026-04-02 10:47:25.78266+00
29,32,https://www.ricambixstufe.it/ricambixstufe/148-home_default/cavo-flat-display.jpg,0,CAVO FLAT DISPLAY 1200 mm,2026-04-02 10:47:25.78266+00
30,33,https://www.ricambixstufe.it/ricambixstufe/272-home_default/telecomando-radio-micronova.jpg,0,TELECOMANDO RADIO MICRONOVA,2026-04-02 10:47:25.78266+00
31,34,https://www.ricambixstufe.it/ricambixstufe/141-home_default/telecomando-universale-per-stufe-a-pellet.jpg,0,TELECOMANDO UNIVERSALE PER STUFE A PELLET ELETTRONICA MICRONOVA,2026-04-02 10:47:25.78266+00
32,35,https://www.ricambixstufe.it/ricambixstufe/138-home_default/scheda-elettronica-micronova-i023.jpg,0,SCHEDA ELETTRONICA MICRONOVA I023,2026-04-02 10:47:25.78266+00
33,36,https://www.ricambixstufe.it/ricambixstufe/274-home_default/centralina-elettronica-micronova-2.jpg,0,SCHEDA ELETTRONICA MICRONOVA I023-5T,2026-04-02 10:47:25.78266+00
34,37,https://www.ricambixstufe.it/ricambixstufe/75-home_default/centralina-elettronica-micronova-n100.jpg,0,SCHEDA ELETTRONICA N100 MICRONOVA,2026-04-02 10:47:25.78266+00
35,38,https://www.ricambixstufe.it/ricambixstufe/582-home_default/centralina-elettronica-duepi.jpg,0,SCHEDA ELETTRONICA DUEPI,2026-04-02 10:47:25.78266+00
36,39,https://www.ricambixstufe.it/ricambixstufe/77-home_default/braciere-stufe-8-11-kw.jpg,0,BRACIERE STUFE 11-13 KW EVACALOR-PUNTOFUOCO,2026-04-02 10:47:25.78266+00
37,40,https://www.ricambixstufe.it/ricambixstufe/131-home_default/braciere-completo-stufe-6-7-8-kw.jpg,0,BRACIERE COMPLETO STUFE 6-7-8KW ANITA-EDDY-ANNA,2026-04-02 10:47:25.78266+00
38,41,https://www.ricambixstufe.it/ricambixstufe/137-home_default/griglia-acciao-braciere.jpg,0,GRIGLIA ACCIAO BRACIERE,2026-04-02 10:47:25.78266+00
